Wall time,Step,Value
1583010980.048846,0,0.3333926200866699
1583010999.167131,1,0.3235619366168976
1583011018.280854,2,0.320454865694046
1583011037.320164,3,0.3169845938682556
1583011056.461284,4,0.3151776194572449
1583011075.65801,5,0.3151776194572449
1583011094.843442,6,0.3151776194572449
1583011114.070697,7,0.3151776194572449
1583011133.192687,8,0.3151776194572449
1583011152.251963,9,0.3151776194572449
1583011171.300836,10,0.31053030490875244
1583011190.345572,11,0.31053030490875244
1583011209.516837,12,0.31053030490875244
1583011228.707139,13,0.31053030490875244
1583011247.915967,14,0.31053030490875244
1583011267.091882,15,0.31053030490875244
1583011286.308081,16,0.31053030490875244
1583011305.539647,17,0.31053030490875244
1583011324.819696,18,0.31053030490875244
1583011344.052217,19,0.31053030490875244
1583011363.32777,20,0.31053030490875244
1583011382.437011,21,0.31053030490875244
1583011401.481141,22,0.31053030490875244
1583011420.724651,23,0.31053030490875244
1583011439.926336,24,0.31053030490875244
