Wall time,Step,Value
1583008457.077657,0,0.3251788914203644
1583008475.853575,1,0.31309598684310913
1583008494.691565,2,0.29982689023017883
1583008513.565957,3,0.2877150774002075
1583008532.438729,4,0.2822161018848419
1583008551.352355,5,0.279441773891449
1583008570.219215,6,0.2750706970691681
1583008589.130455,7,0.2750706970691681
1583008608.077005,8,0.2682211101055145
1583008626.832802,9,0.2646389305591583
1583008645.511205,10,0.26149508357048035
1583008664.21336,11,0.261054128408432
1583008683.094801,12,0.2607825696468353
1583008701.977293,13,0.2605552077293396
1583008720.758933,14,0.26030027866363525
1583008739.527652,15,0.2600717544555664
1583008758.263165,16,0.2598114609718323
1583008777.010724,17,0.2595285475254059
1583008795.676231,18,0.2593396306037903
1583008814.346947,19,0.2590738534927368
