Wall time,Step,Value
1583008454.771731,0,0.75838702917099
1583008473.548816,1,0.6365729570388794
1583008492.380548,2,0.5805267095565796
1583008511.237194,3,0.5457956194877625
1583008530.107136,4,0.5215357542037964
1583008549.03544,5,0.5054745078086853
1583008567.905409,6,0.49529173970222473
1583008586.825172,7,0.48995310068130493
1583008605.750691,8,0.47509104013442993
1583008624.524742,9,0.46139177680015564
1583008643.204517,10,0.44034790992736816
1583008661.907901,11,0.4348638653755188
1583008680.77933,12,0.43243852257728577
1583008699.664141,13,0.4304172992706299
1583008718.451336,14,0.4285658001899719
1583008737.218735,15,0.42677995562553406
1583008755.957605,16,0.4250508248806
1583008774.705445,17,0.42332974076271057
1583008793.369325,18,0.4216505289077759
1583008812.040684,19,0.4199809432029724
