Wall time,Step,Value
1583008457.077225,0,0.741254448890686
1583008475.853177,1,0.7030814290046692
1583008494.690816,2,0.6983478665351868
1583008513.565407,3,0.676448404788971
1583008532.438264,4,0.6648057103157043
1583008551.351907,5,0.6628485321998596
1583008570.218781,6,0.6482903957366943
1583008589.130004,7,0.6482903957366943
1583008608.076537,8,0.6445218324661255
1583008626.832344,9,0.633270800113678
1583008645.510761,10,0.6256963610649109
1583008664.212932,11,0.624407947063446
1583008683.094324,12,0.62347012758255
1583008701.976858,13,0.6226908564567566
1583008720.758493,14,0.6220222115516663
1583008739.527218,15,0.6214489340782166
1583008758.262724,16,0.6209547519683838
1583008777.010296,17,0.6205068826675415
1583008795.675801,18,0.6202093362808228
1583008814.346504,19,0.6198973655700684
