Wall time,Step,Value
1583012835.994147,0,0.8999446034431458
1583012857.216172,1,0.8335690498352051
1583012878.38301,2,0.7926183342933655
1583012899.583421,3,0.761680006980896
1583012920.795952,4,0.7391332387924194
1583012942.027547,5,0.7212406992912292
1583012963.204245,6,0.7093244791030884
1583012984.466563,7,0.6923440098762512
1583013005.828653,8,0.6928222179412842
1583013027.181125,9,0.69704669713974
1583013048.463547,10,0.6874825358390808
1583013069.820859,11,0.6746003031730652
1583013091.199831,12,0.6688694953918457
1583013112.537918,13,0.6688950061798096
1583013133.855788,14,0.6688845753669739
1583013155.044168,15,0.6688844561576843
1583013176.295221,16,0.6688806414604187
1583013197.566517,17,0.6688795685768127
1583013218.748766,18,0.6688768863677979
1583013239.997968,19,0.6688761711120605
1583013261.246022,20,0.6680516600608826
1583013282.473672,21,0.6672623157501221
1583013303.693391,22,0.6666855812072754
1583013324.910986,23,0.6661538481712341
1583013346.199315,24,0.6656503677368164
