Wall time,Step,Value
1583011584.468733,0,0.7927905321121216
1583011602.037938,1,0.7772525548934937
1583011619.384753,2,0.7772525548934937
1583011637.04708,3,0.7772525548934937
1583011656.315765,4,0.7772525548934937
1583011674.299314,5,0.7772525548934937
1583011691.738845,6,0.7772525548934937
1583011709.488313,7,0.7677046060562134
1583011727.087568,8,0.7616059184074402
1583011746.498526,9,0.7575576901435852
1583011763.911993,10,0.7575576901435852
1583011781.56095,11,0.7575576901435852
1583011798.998454,12,0.7575576901435852
1583011817.836427,13,0.7575576901435852
1583011835.999554,14,0.7575576901435852
1583011853.422413,15,0.7575576901435852
1583011871.152589,16,0.7575576901435852
1583011888.594814,17,0.7575576901435852
1583011905.983956,18,0.7575576901435852
1583011925.518519,19,0.7575576901435852
1583011942.955669,20,0.7553264498710632
1583011960.702019,21,0.7553264498710632
1583011978.247414,22,0.7553264498710632
1583011997.672072,23,0.7553264498710632
1583012015.093911,24,0.7553264498710632
