Wall time,Step,Value
1583011582.371014,0,0.9706710577011108
1583011599.946794,1,0.9209388494491577
1583011617.290087,2,0.8891847133636475
1583011634.955712,3,0.8888826966285706
1583011653.69898,4,0.888613224029541
1583011672.19782,5,0.8886304497718811
1583011689.625614,6,0.8886593580245972
1583011707.379256,7,0.8885414004325867
1583011724.817873,8,0.8662773370742798
1583011744.390693,9,0.8467174768447876
1583011761.80757,10,0.8213983178138733
1583011779.457932,11,0.8213899731636047
1583011796.897331,12,0.8213961720466614
1583011815.26245,13,0.8214006423950195
1583011833.891152,14,0.8214167952537537
1583011851.315079,15,0.821416974067688
1583011869.050377,16,0.8214302062988281
1583011886.496284,17,0.82142573595047
1583011903.876719,18,0.8214365243911743
1583011923.131855,19,0.8214320540428162
1583011940.85098,20,0.8245303630828857
1583011958.599506,21,0.8213384747505188
1583011976.053489,22,0.8213660717010498
1583011995.565839,23,0.821365237236023
1583012012.992612,24,0.8213653564453125
