Wall time,Step,Value
1583012838.442213,0,0.7810767292976379
1583012859.667679,1,0.7586377859115601
1583012880.851904,2,0.7436688542366028
1583012902.052169,3,0.7302461266517639
1583012923.261937,4,0.7253957390785217
1583012944.494223,5,0.7182420492172241
1583012965.671399,6,0.7302352786064148
1583012986.942637,7,0.7302352786064148
1583013008.296326,8,0.7302352786064148
1583013029.645113,9,0.7302352786064148
1583013050.938339,10,0.7169791460037231
1583013072.287074,11,0.7143110632896423
1583013093.666797,12,0.7143110632896423
1583013115.004457,13,0.7143110632896423
1583013136.323606,14,0.7143110632896423
1583013157.509567,15,0.7143110632896423
1583013178.761418,16,0.7143110632896423
1583013200.032051,17,0.7143110632896423
1583013221.213083,18,0.7143110632896423
1583013242.466009,19,0.7143110632896423
1583013263.717362,20,0.7138189077377319
1583013284.940471,21,0.7135896682739258
1583013306.162242,22,0.7134301662445068
1583013327.379866,23,0.7133141160011292
1583013348.672343,24,0.7133141160011292
