Wall time,Step,Value
1583013428.153225,0,0.9631483554840088
1583013447.017668,1,0.8992334604263306
1583013465.988948,2,0.8577658534049988
1583013484.968445,3,0.8308622241020203
1583013503.993657,4,0.8102912902832031
1583013523.047996,5,0.7916984558105469
1583013542.046542,6,0.7904095649719238
1583013561.109532,7,0.7894998788833618
1583013580.138306,8,0.789091944694519
1583013599.219652,9,0.7888094186782837
1583013618.309829,10,0.7803888320922852
1583013637.378236,11,0.7728286981582642
1583013656.460584,12,0.7729178667068481
1583013675.479645,13,0.7728983163833618
1583013694.486496,14,0.7728949785232544
1583013713.4666,15,0.7728891372680664
1583013732.476024,16,0.7728870511054993
1583013751.533844,17,0.7728815078735352
1583013770.575452,18,0.7728813886642456
1583013789.644856,19,0.7728763818740845
1583013808.70036,20,0.7722155451774597
1583013827.668673,21,0.7721999883651733
1583013846.693051,22,0.7722004055976868
1583013865.737859,23,0.7722004652023315
1583013884.780557,24,0.7722005248069763
