Wall time,Step,Value
1583010977.736566,0,0.9517456889152527
1583010996.857224,1,0.9029002785682678
1583011015.967581,2,0.8650400638580322
1583011035.004708,3,0.8330157399177551
1583011054.127672,4,0.806874692440033
1583011073.335706,5,0.7879523038864136
1583011092.509266,6,0.788082480430603
1583011111.7394,7,0.7876375317573547
1583011130.870267,8,0.7879940867424011
1583011149.927942,9,0.7877532243728638
1583011168.978634,10,0.7803569436073303
1583011188.021639,11,0.7746127843856812
1583011207.189667,12,0.77464359998703
1583011226.384423,13,0.7746383547782898
1583011245.585958,14,0.7746367454528809
1583011264.766574,15,0.7746328711509705
1583011283.980645,16,0.7746321558952332
1583011303.21002,17,0.7746298313140869
1583011322.486695,18,0.774628221988678
1583011341.731332,19,0.7746260166168213
1583011361.01003,20,0.7739948034286499
1583011380.119109,21,0.773992121219635
1583011399.160553,22,0.7739921808242798
1583011418.400297,23,0.7739921808242798
1583011437.601365,24,0.7739923000335693
